id,username,email,role,manager,make,acceleration,top_speed,electric_range,total_power,total_torque,drive,battery_capacity,length,width,height,wheelbase,gross_vehicle_weight,max_payload,cargo_volume,seats,maintenance_cost,pincode,date,time,latitude,longitude,vehicle_status,battery_level,range
286,shree,shree@gmail.com,Driver,sobika,BMW,5.7,190,470,250,430,Rear,83.9,4783,1852,1448,2856,2605,555,470,5,1805.84,94042,2024-11-26,01:44:26,-11.93916,34.196415,1,99,465.3
287,divya,divya@gmail.com,Driver,sobika,Tesla2,3.3,261,460,377,660,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,3187.24,49179,2024-04-21,11:30:08,16.669902,78.687202,0,28,128.8
288,manisha,manisha@gmail.com,Driver,harshithah,Tesla1,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,4764.91,55061,2024-09-22,02:15:07,36.434628,63.474909,1,78,378.3
289,teja,teja@gmail.com,Driver,sobika,Tesla1,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,1225.6,53433,2024-03-26,10:04:12,-77.250818,-48.820844,0,19,92.15
290,ram,ram@gmail.com,Fleet Manager,sriram,Tesla1,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,2707.37,70502,2024-02-08,06:40:36,-72.369252,-95.854988,1,8,38.8
291,sanasya,sanasya@gmail.com,Driver,jerlin,Tesla1,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,4448.5,41504,2024-04-10,08:31:39,-57.993379,-52.92831,1,38,184.3
292,akshaya,akshaya@gmail.com,Driver,sobika,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,2113.37,46064,2024-03-16,09:11:42,86.829904,-120.987394,0,1,4.25
293,mahitha,mahitha@gmail.com,Driver,sobika,Volkswagen,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,3434.5,19013,2024-04-16,20:11:24,81.249323,38.331649,1,54,243.0
294,kruthika,kruthika@gmail.com,Fleet Manager,harshithah,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,1936.73,29937,2024-08-31,19:48:48,10.612739,-164.484901,0,1,4.25
295,abhishek,abhishek@gmail.com,Driver,santhosh,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,1560.49,69935,2024-08-02,08:58:37,23.337445,105.812773,0,52,221.0
296,shree,shree@gmail.com,Driver,jerlin,Tesla2,3.3,261,460,377,660,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,1949.11,45930,2024-10-02,01:08:05,12.209486,-153.860172,0,20,92.0
297,divya,divya@gmail.com,Fleet Manager,sriram,Tesla2,3.3,261,460,377,660,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,1392.96,34358,2024-07-09,05:02:38,83.357732,-64.759562,1,92,423.2
298,manisha,manisha@gmail.com,Driver,sobika,Tesla1,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,4535.2,25208,2024-01-02,22:46:32,41.034317,89.262075,1,80,388.0
299,teja,teja@gmail.com,Driver,santhosh,BMW,5.7,190,470,250,430,Rear,83.9,4783,1852,1448,2856,2605,555,470,5,4289.9,30162,2024-09-30,02:46:20,7.491494,-150.899339,1,32,150.4
300,ram,ram@gmail.com,Fleet Manager,sriram,Tesla1,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,2916.36,19619,2024-11-28,15:16:30,71.529095,-107.649468,0,84,407.4
301,sanasya,sanasya@gmail.com,Driver,sobika,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,3380.65,73198,2024-02-22,00:23:15,53.662537,-159.065033,0,52,221.0
302,akshaya,akshaya@gmail.com,Driver,harshithah,BMW,5.7,190,470,250,430,Rear,83.9,4783,1852,1448,2856,2605,555,470,5,1002.71,71603,2024-07-31,05:55:24,60.826042,51.562786,1,6,28.2
303,mahitha,mahitha@gmail.com,Driver,jerlin,Volkswagen,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,1431.7,49759,2024-02-20,22:02:29,57.411676,-159.511883,0,53,238.5
304,kruthika,kruthika@gmail.com,Fleet Manager,harshithah,Tesla2,3.3,261,460,377,660,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,4653.6,22700,2024-02-28,22:41:38,-60.828261,111.080388,1,77,354.2
305,abhishek,abhishek@gmail.com,Driver,santhosh,Tesla1,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,2813.33,90974,2024-08-15,06:01:22,21.79729,4.386555,0,8,38.8
306,shree,shree@gmail.com,Driver,santhosh,Volkswagen,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,4382.97,16779,2024-08-30,01:16:27,-42.784657,118.952842,0,88,396.0
307,divya,divya@gmail.com,Driver,jerlin,BMW,5.7,190,470,250,430,Rear,83.9,4783,1852,1448,2856,2605,555,470,5,3553.46,84593,2024-04-01,12:53:31,1.284013,5.768333,0,43,202.1
308,manisha,manisha@gmail.com,Driver,sobika,Tesla2,3.3,261,460,377,660,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,2208.2,66714,2024-11-07,23:25:12,53.358694,114.037397,0,95,437.0
309,teja,teja@gmail.com,Driver,harshithah,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,2265.91,20243,2024-01-12,07:27:09,-83.553497,-22.924261,0,100,425.0
310,ram,ram@gmail.com,Driver,sriram,BMW,5.7,190,470,250,430,Rear,83.9,4783,1852,1448,2856,2605,555,470,5,4412.86,67294,2024-08-07,07:12:05,-7.533408,73.29303,0,1,4.7
311,sanasya,sanasya@gmail.com,Fleet Manager,sriram,BMW,5.7,190,470,250,430,Rear,83.9,4783,1852,1448,2856,2605,555,470,5,3626.06,37735,2024-09-08,01:39:50,44.501925,9.616038,0,83,390.1
312,akshaya,akshaya@gmail.com,Driver,sobika,Tesla2,3.3,261,460,377,660,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,1087.01,94918,2024-08-12,19:10:18,-75.026367,-84.433548,0,3,13.8
313,mahitha,mahitha@gmail.com,Driver,jerlin,BMW,5.7,190,470,250,430,Rear,83.9,4783,1852,1448,2856,2605,555,470,5,2817.08,91714,2024-05-14,20:47:51,10.082324,-170.460542,0,44,206.8
314,kruthika,kruthika@gmail.com,Driver,harshithah,Tesla1,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,4361.64,35595,2024-01-05,16:28:52,-33.395046,121.996659,1,19,92.15
315,abhishek,abhishek@gmail.com,Driver,sriram,Tesla2,3.3,261,460,377,660,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,4007.23,04243,2024-08-06,17:18:34,30.12421,9.616319,1,42,193.2
316,shree,shree@gmail.com,Driver,sriram,BMW,5.7,190,470,250,430,Rear,83.9,4783,1852,1448,2856,2605,555,470,5,3241.49,11010,2024-11-12,01:47:00,69.994233,-5.352526,1,5,23.5
317,divya,divya@gmail.com,Driver,sobika,Volkswagen,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,2961.02,98860,2024-10-24,16:09:29,5.903765,72.343135,0,83,373.5
318,manisha,manisha@gmail.com,Driver,jerlin,Tesla2,3.3,261,460,377,660,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,3046.5,71792,2024-08-31,08:34:07,66.803058,-160.910402,0,44,202.4
319,teja,teja@gmail.com,Driver,harshithah,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,2117.98,46333,2024-10-18,04:39:11,82.565204,25.624876,0,73,310.25
320,ram,ram@gmail.com,Fleet Manager,santhosh,Tesla1,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,3245.68,69703,2024-03-21,08:20:52,-66.385624,-48.712628,1,53,257.05
321,sanasya,sanasya@gmail.com,Driver,sriram,Volkswagen,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,1035.15,62442,2024-05-30,04:12:25,-27.723238,49.46635,0,9,40.5
322,akshaya,akshaya@gmail.com,Driver,sobika,Tesla1,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,3378.17,91794,2024-11-02,08:16:49,55.99145,40.418176,1,55,266.75
323,mahitha,mahitha@gmail.com,Driver,sobika,Tesla1,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,3223.66,17730,2024-03-05,16:27:06,-51.415427,122.379128,0,32,155.2
324,kruthika,kruthika@gmail.com,Driver,sriram,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,2857.39,20422,2024-06-02,15:24:34,76.941465,-107.981576,1,22,93.5
325,abhishek,abhishek@gmail.com,Driver,jerlin,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,3691.04,64422,2024-10-07,00:59:29,31.621016,85.36263,0,18,76.5
326,shree,shree@gmail.com,Driver,sriram,Tesla1,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,4964.43,68808,2024-04-23,21:15:57,-1.0834,-54.32901,0,2,9.7
327,divya,divya@gmail.com,Driver,sriram,Tesla2,3.3,261,460,377,660,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,2046.69,62012,2024-03-30,15:02:43,-89.607337,-99.761291,0,76,349.6
328,manisha,manisha@gmail.com,Driver,sobika,Volkswagen,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,3119.87,35829,2024-09-05,16:30:18,4.122449,-158.843344,0,85,382.5
329,teja,teja@gmail.com,Driver,sriram,Volkswagen,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,1285.3,72653,2024-02-03,17:50:21,-9.472631,58.570121,1,74,333.0
330,ram,ram@gmail.com,Driver,sobika,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,3912.49,65582,2024-03-27,02:46:59,42.809197,29.836665,0,16,68.0
331,sanasya,sanasya@gmail.com,Driver,sobika,Tesla1,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,1136.89,38816,2024-01-31,03:49:00,-21.50018,-63.344259,0,19,92.15
332,akshaya,akshaya@gmail.com,Driver,santhosh,BMW,5.7,190,470,250,430,Rear,83.9,4783,1852,1448,2856,2605,555,470,5,3015.79,87154,2024-10-22,20:49:54,-70.95946,-82.495239,1,57,267.9
333,mahitha,mahitha@gmail.com,Driver,sobika,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,1335.05,93619,2024-07-02,23:26:43,-7.405704,172.871931,0,20,85.0
334,kruthika,kruthika@gmail.com,Fleet Manager,jerlin,Volkswagen,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,2299.19,30766,2024-07-07,16:24:24,4.43265,-125.960826,0,90,405.0
335,abhishek,abhishek@gmail.com,Driver,santhosh,BMW,5.7,190,470,250,430,Rear,83.9,4783,1852,1448,2856,2605,555,470,5,4100.06,93172,2024-08-23,06:58:35,-47.69732,-175.185989,0,63,296.1
336,shree,shree@gmail.com,Driver,sriram,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,4857.26,44892,2024-08-10,20:10:04,51.305102,-100.335105,1,99,420.75
337,divya,divya@gmail.com,Driver,jerlin,BMW,5.7,190,470,250,430,Rear,83.9,4783,1852,1448,2856,2605,555,470,5,2921.68,90437,2024-10-16,15:41:10,26.744266,-126.991396,0,9,42.3
338,manisha,manisha@gmail.com,Driver,jerlin,Tesla2,3.3,261,460,377,660,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,3611.81,59600,2024-11-24,03:48:19,-76.23684,175.900045,1,66,303.6
339,teja,teja@gmail.com,Fleet Manager,santhosh,Tesla2,3.3,261,460,377,660,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,3542.32,77016,2024-06-17,08:56:46,-69.900894,98.062882,1,61,280.6
340,ram,ram@gmail.com,Driver,santhosh,BMW,5.7,190,470,250,430,Rear,83.9,4783,1852,1448,2856,2605,555,470,5,4996.85,61199,2024-06-22,01:48:35,-17.992898,-108.534155,0,20,94.0
341,sanasya,sanasya@gmail.com,Driver,jerlin,Volkswagen,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,4434.75,35656,2024-07-11,07:41:27,-68.567317,-65.473412,0,2,9.0
342,akshaya,akshaya@gmail.com,Driver,sriram,Tesla1,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,3914.15,40161,2024-09-20,13:46:24,-87.737135,119.241489,0,64,310.4
343,mahitha,mahitha@gmail.com,Fleet Manager,harshithah,Volkswagen,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,1908.06,74986,2024-02-05,19:36:18,-19.077639,21.696416,1,45,202.5
344,kruthika,kruthika@gmail.com,Driver,jerlin,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,3307.57,18213,2024-01-17,08:55:56,42.4906,-123.320705,0,44,187.0
345,abhishek,abhishek@gmail.com,Driver,santhosh,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,3331.9,92279,2024-01-07,18:06:51,22.735385,-96.860055,1,77,327.25
346,shree,shree@gmail.com,Driver,sriram,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,2045.1,08330,2024-07-29,14:53:19,70.983546,152.647278,0,55,233.75
347,divya,divya@gmail.com,Fleet Manager,harshithah,Tesla1,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,1443.94,94802,2024-03-13,17:33:28,9.283559,-65.131036,0,39,189.15
348,manisha,manisha@gmail.com,Driver,sobika,BMW,5.7,190,470,250,430,Rear,83.9,4783,1852,1448,2856,2605,555,470,5,2453.94,67797,2024-03-10,06:04:54,34.502866,152.146897,1,15,70.5
349,teja,teja@gmail.com,Driver,sriram,Tesla1,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,2427.82,21073,2024-01-28,20:21:27,37.716298,87.921347,0,43,208.55
350,ram,ram@gmail.com,Fleet Manager,harshithah,Volkswagen,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,1962.52,32126,2024-06-03,00:25:23,81.002577,17.477099,0,5,22.5
351,sanasya,sanasya@gmail.com,Driver,jerlin,BMW,5.7,190,470,250,430,Rear,83.9,4783,1852,1448,2856,2605,555,470,5,2948.56,07662,2024-10-10,07:20:24,-46.017007,2.930993,0,78,366.6
352,akshaya,akshaya@gmail.com,Fleet Manager,santhosh,Tesla2,3.3,261,460,377,660,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,4769.59,75081,2024-07-13,06:56:51,-11.528955,48.947607,1,96,441.6
353,mahitha,mahitha@gmail.com,Driver,sobika,Tesla2,3.3,261,460,377,660,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,2474.84,16387,2024-10-22,16:15:55,-57.469284,87.179291,0,64,294.4
354,kruthika,kruthika@gmail.com,Fleet Manager,santhosh,Tesla1,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,2257.64,34335,2024-10-08,15:29:43,-40.005277,136.262136,0,84,407.4
355,abhishek,abhishek@gmail.com,Driver,sriram,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,3874.99,96356,2024-09-16,03:57:40,44.154683,160.035361,0,60,255.0
356,shree,shree@gmail.com,Fleet Manager,santhosh,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,4464.62,96964,2024-06-18,09:17:03,59.482313,96.074109,1,75,318.75
357,divya,divya@gmail.com,Driver,jerlin,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,4912.85,03240,2024-01-04,19:55:34,-39.632236,-36.70357,1,2,8.5
358,manisha,manisha@gmail.com,Driver,sriram,Volkswagen,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,4946.52,05707,2024-09-10,21:35:53,15.504774,-169.611399,1,66,297.0
359,teja,teja@gmail.com,Driver,jerlin,BMW,5.7,190,470,250,430,Rear,83.9,4783,1852,1448,2856,2605,555,470,5,1197.58,71372,2024-03-07,04:01:40,-44.772809,44.40033,1,75,352.5
360,ram,ram@gmail.com,Driver,jerlin,Tesla2,3.3,261,460,377,660,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,1790.09,65060,2024-09-27,18:41:40,-66.658941,-12.793643,0,42,193.2
361,sanasya,sanasya@gmail.com,Driver,harshithah,BMW,5.7,190,470,250,430,Rear,83.9,4783,1852,1448,2856,2605,555,470,5,1530.27,61139,2024-02-20,09:34:51,23.204058,19.26133,0,12,56.4
362,akshaya,akshaya@gmail.com,Fleet Manager,jerlin,Tesla2,3.3,261,460,377,660,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,3403.13,29995,2024-03-12,21:06:27,32.828795,-37.098727,0,30,138.0
363,mahitha,mahitha@gmail.com,Driver,jerlin,BMW,5.7,190,470,250,430,Rear,83.9,4783,1852,1448,2856,2605,555,470,5,3268.79,01801,2024-06-18,20:59:02,52.136967,-20.858046,1,9,42.3
364,kruthika,kruthika@gmail.com,Driver,jerlin,Tesla1,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,2038.1,84465,2024-09-25,05:38:27,-85.309226,75.764604,0,22,106.7
365,abhishek,abhishek@gmail.com,Fleet Manager,jerlin,BMW,5.7,190,470,250,430,Rear,83.9,4783,1852,1448,2856,2605,555,470,5,2183.99,23958,2024-09-04,23:36:18,-68.691539,50.165247,1,51,239.7
366,shree,shree@gmail.com,Fleet Manager,jerlin,Tesla2,3.3,261,460,377,660,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,4783.95,01212,2024-10-15,09:33:29,-25.692133,46.144273,0,50,230.0
367,divya,divya@gmail.com,Driver,santhosh,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,4080.74,96450,2024-07-20,16:15:02,-42.700971,-95.334716,0,30,127.5
368,manisha,manisha@gmail.com,Fleet Manager,harshithah,Tesla1,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,4574.73,12875,2024-03-31,01:20:19,-81.659364,8.59374,0,95,460.75
369,teja,teja@gmail.com,Driver,jerlin,Tesla2,3.3,261,460,377,660,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,1805.68,21744,2024-08-18,13:52:42,-81.297418,-50.176332,1,31,142.6
370,ram,ram@gmail.com,Driver,sriram,Tesla1,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,2910.82,29084,2024-02-22,09:03:44,-37.830506,-7.062265,1,42,203.7
371,sanasya,sanasya@gmail.com,Fleet Manager,sobika,Tesla1,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,3023.09,81365,2024-01-27,07:47:51,28.941955,38.005526,0,19,92.15
372,akshaya,akshaya@gmail.com,Driver,sriram,BMW,5.7,190,470,250,430,Rear,83.9,4783,1852,1448,2856,2605,555,470,5,1685.16,33805,2024-01-23,06:10:24,-33.720733,114.465591,0,94,441.8
373,mahitha,mahitha@gmail.com,Driver,santhosh,BMW,5.7,190,470,250,430,Rear,83.9,4783,1852,1448,2856,2605,555,470,5,4551.2,56841,2024-02-02,16:42:12,-27.159677,-127.554189,0,9,42.3
374,kruthika,kruthika@gmail.com,Driver,santhosh,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,4233.28,53017,2024-09-04,00:04:42,-82.567952,48.73395,1,73,310.25
375,abhishek,abhishek@gmail.com,Fleet Manager,sobika,BMW,5.7,190,470,250,430,Rear,83.9,4783,1852,1448,2856,2605,555,470,5,4062.22,51255,2024-11-12,01:16:22,-83.355286,140.774924,1,83,390.1
376,shree,shree@gmail.com,Driver,santhosh,Volkswagen,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,3695.18,19429,2024-05-20,12:12:35,56.093628,-128.807412,0,64,288.0
377,divya,divya@gmail.com,Driver,sriram,Tesla2,3.3,261,460,377,660,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,2002.72,85424,2024-09-16,10:07:40,-55.058763,51.602181,1,65,299.0
378,manisha,manisha@gmail.com,Driver,jerlin,Volkswagen,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,1355.1,20380,2024-02-18,11:42:24,-70.475004,105.434376,0,6,27.0
379,teja,teja@gmail.com,Driver,harshithah,Tesla2,3.3,261,460,377,660,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,4702.14,61448,2024-04-20,21:10:25,20.150571,-33.407087,0,47,216.2
380,ram,ram@gmail.com,Driver,harshithah,BMW,5.7,190,470,250,430,Rear,83.9,4783,1852,1448,2856,2605,555,470,5,4554.6,46088,2024-02-15,15:20:48,25.900059,-127.516071,1,62,291.4
381,sanasya,sanasya@gmail.com,Driver,jerlin,BMW,5.7,190,470,250,430,Rear,83.9,4783,1852,1448,2856,2605,555,470,5,1289.49,71755,2024-01-15,10:19:08,57.400631,-98.088175,1,11,51.7
382,akshaya,akshaya@gmail.com,Driver,sriram,Tesla1,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,1287.94,99464,2024-07-20,22:44:39,-23.464325,177.963209,0,7,33.95
383,mahitha,mahitha@gmail.com,Driver,santhosh,BMW,5.7,190,470,250,430,Rear,83.9,4783,1852,1448,2856,2605,555,470,5,1403.96,10333,2024-07-19,18:16:20,-53.452827,-37.153349,1,67,314.9
384,kruthika,kruthika@gmail.com,Driver,sriram,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,1304.49,96797,2024-01-13,05:04:06,-21.456438,-137.205126,1,24,102.0
385,abhishek,abhishek@gmail.com,Driver,jerlin,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,2740.01,55224,2024-02-20,09:31:38,30.632173,-127.371959,0,30,127.5
386,shree,shree@gmail.com,Driver,santhosh,Tesla2,3.3,261,460,377,660,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,3290.88,61607,2024-09-09,04:06:57,53.312422,7.958371,0,69,317.4
387,divya,divya@gmail.com,Driver,harshithah,Tesla2,3.3,261,460,377,660,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,1166.15,90719,2024-03-31,07:14:41,-26.376387,115.348285,0,100,460.0
388,manisha,manisha@gmail.com,Driver,sobika,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,3635.71,61378,2024-08-31,20:05:40,80.459746,-88.793823,0,52,221.0
389,teja,teja@gmail.com,Fleet Manager,sriram,BMW,5.7,190,470,250,430,Rear,83.9,4783,1852,1448,2856,2605,555,470,5,2492.62,81968,2024-10-15,08:36:07,78.706303,-45.713541,1,47,220.9
390,ram,ram@gmail.com,Driver,santhosh,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,4163.06,54140,2024-12-01,00:46:55,-22.743442,106.205727,1,48,204.0
391,sanasya,sanasya@gmail.com,Driver,harshithah,Tesla2,3.3,261,460,377,660,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,3832.69,78685,2024-08-14,00:41:46,84.306027,167.003615,0,12,55.2
392,akshaya,akshaya@gmail.com,Driver,jerlin,Volkswagen,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,2882.8,81889,2024-04-03,10:07:36,-10.384843,-40.33352,0,25,112.5
393,mahitha,mahitha@gmail.com,Fleet Manager,sriram,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,4512.57,11679,2024-04-12,02:09:34,-18.832133,11.673464,1,60,255.0
394,kruthika,kruthika@gmail.com,Fleet Manager,sriram,Tesla1,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,2398.68,25378,2024-06-11,18:02:54,-89.973685,136.146761,0,95,460.75
395,abhishek,abhishek@gmail.com,Driver,sriram,Tesla1,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,4999.57,72612,2024-01-25,02:58:43,-29.414207,-35.065744,1,98,475.3
396,shree,shree@gmail.com,Driver,sriram,BMW,5.7,190,470,250,430,Rear,83.9,4783,1852,1448,2856,2605,555,470,5,2874.84,67896,2024-10-29,21:13:15,26.279022,-64.644361,0,43,202.1
397,divya,divya@gmail.com,Driver,sriram,Tesla1,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,1021.44,82647,2024-08-07,21:50:41,7.185041,-174.258287,0,34,164.9
398,manisha,manisha@gmail.com,Driver,harshithah,Tesla1,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,2207.56,93750,2024-01-12,00:47:52,-25.478288,160.698588,1,24,116.4
399,teja,teja@gmail.com,Fleet Manager,harshithah,Volkswagen,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,2765.42,20047,2024-10-19,12:43:47,49.430393,-115.742429,1,72,324.0
400,ram,ram@gmail.com,Driver,harshithah,BMW,5.7,190,470,250,430,Rear,83.9,4783,1852,1448,2856,2605,555,470,5,1051.66,47204,2024-01-14,03:59:04,46.100601,120.530376,0,4,18.8
401,sanasya,sanasya@gmail.com,Driver,sobika,Tesla1,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,3622.14,88316,2024-03-29,09:59:02,86.248348,-103.607111,0,67,324.95
402,akshaya,akshaya@gmail.com,Driver,sobika,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,4262.28,75881,2024-02-02,08:09:49,-68.456513,-67.907529,1,5,21.25
403,mahitha,mahitha@gmail.com,Driver,santhosh,BMW,5.7,190,470,250,430,Rear,83.9,4783,1852,1448,2856,2605,555,470,5,1728.83,82180,2024-06-17,06:45:34,41.50876,-152.204772,0,36,169.2
404,kruthika,kruthika@gmail.com,Driver,sobika,BMW,5.7,190,470,250,430,Rear,83.9,4783,1852,1448,2856,2605,555,470,5,4321.87,09693,2024-08-02,10:23:57,35.570885,-108.235927,1,2,9.4
405,abhishek,abhishek@gmail.com,Driver,santhosh,BMW,5.7,190,470,250,430,Rear,83.9,4783,1852,1448,2856,2605,555,470,5,3116.13,47182,2024-10-04,02:23:42,-37.731377,164.065172,0,9,42.3
406,shree,shree@gmail.com,Fleet Manager,sriram,Tesla2,3.3,261,460,377,660,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,3169.86,73878,2024-02-24,19:17:25,-23.431645,125.49909,1,64,294.4
407,divya,divya@gmail.com,Driver,harshithah,Tesla1,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,2201.36,58895,2024-09-14,04:36:58,-57.043489,11.250524,0,88,426.8
408,manisha,manisha@gmail.com,Driver,santhosh,BMW,5.7,190,470,250,430,Rear,83.9,4783,1852,1448,2856,2605,555,470,5,4914.89,57466,2024-07-01,11:03:53,54.928358,-1.822103,1,17,79.9
409,teja,teja@gmail.com,Driver,sobika,Tesla1,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,4233.9,63178,2024-02-17,06:56:37,-22.5278,-106.16024,1,9,43.65
