id,username,email,role,make,acceleration,top_speed,electric_range,total_power,total_torque,drive,battery_capacity,length,width,height,wheelbase,gross_vehicle_weight,max_payload,cargo_volume,seats,maintenance_cost,pincode,date,time,latitude,longitude,vehicle_status,battery_level,range
393,ohenry,ohenry@gmail.com,Fleet Manager,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,4092.68,26717,2024-10-20,15:16:38,-82.275336,-153.58947,0,48,204.0
394,edwardmiller,edwardmiller@gmail.com,Fleet Manager,Volkswagen,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,4542.72,50793,2024-05-15,16:07:41,63.44106,-38.48194,0,15,67.5
395,scottmandy,scottmandy@gmail.com,Fleet Manager,Volkswagen,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,3424.45,66687,2024-09-07,09:46:27,86.104476,-113.202531,0,19,85.5
396,daniel20,daniel20@gmail.com,Fleet Manager,BMW,5.7,190,470,250,430,Rear,83.9,4783,1852,1448,2856,2605,555,470,5,1737.82,74661,2024-01-06,05:47:26,7.850744,132.577863,0,61,286.7
397,alec93,alec93@gmail.com,Fleet Manager,BMW,5.7,190,470,250,430,Rear,83.9,4783,1852,1448,2856,2605,555,470,5,4838.78,87913,2024-11-14,11:07:05,-59.20852,118.105084,0,55,258.5
398,alexandriadelgado,alexandriadelgado@gmail.com,Driver,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,4329.71,08299,2024-01-14,08:00:43,73.485135,4.814209,0,9,38.25
399,cole48,cole48@gmail.com,Driver,Tesla1,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,2031.11,88081,2024-03-27,00:26:57,41.491734,159.726936,0,52,252.2
400,erikawilliams,erikawilliams@gmail.com,Fleet Manager,Volkswagen,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,3562.3,59345,2024-09-10,10:12:26,30.044251,18.632105,0,28,126.0
401,veronicavazquez,veronicavazquez@gmail.com,Fleet Manager,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,1889.71,46355,2024-02-16,10:13:50,-3.854994,-65.641705,0,33,140.25
402,pnguyen,pnguyen@gmail.com,Fleet Manager,Volkswagen,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,4274.02,95380,2024-08-03,10:28:20,-10.443177,-121.309335,0,39,175.5
403,nataliegalloway,nataliegalloway@gmail.com,Fleet Manager,BMW,5.7,190,470,250,430,Rear,83.9,4783,1852,1448,2856,2605,555,470,5,3090.64,20941,2024-07-17,06:47:33,58.009985,-66.114017,1,73,343.1
404,keith59,keith59@gmail.com,Fleet Manager,BMW,5.7,190,470,250,430,Rear,83.9,4783,1852,1448,2856,2605,555,470,5,3014.79,60113,2024-08-11,06:37:56,-77.79737,-145.020735,0,37,173.9
405,andersoncourtney,andersoncourtney@gmail.com,Fleet Manager,Tesla1,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,4024.27,86920,2024-08-19,22:30:13,24.005833,110.525348,1,5,24.25
406,pedwards,pedwards@gmail.com,Fleet Manager,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,1226.01,81101,2024-01-27,18:46:11,27.466227,115.422735,1,75,318.75
407,powerstina,powerstina@gmail.com,Fleet Manager,BMW,5.7,190,470,250,430,Rear,83.9,4783,1852,1448,2856,2605,555,470,5,2265.84,26885,2024-09-24,04:50:12,69.805665,168.091334,0,31,145.7
408,calvinsnow,calvinsnow@gmail.com,Driver,Tesla2,3.3,261,460,377,660,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,2296.03,91332,2024-02-23,23:03:55,40.862414,-71.732425,0,32,147.2
409,fchandler,fchandler@gmail.com,Fleet Manager,BMW,5.7,190,470,250,430,Rear,83.9,4783,1852,1448,2856,2605,555,470,5,1772.43,42169,2024-01-23,00:54:36,-30.227179,143.453993,1,17,79.9
410,martin46,martin46@gmail.com,Fleet Manager,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,3865.04,17338,2024-11-21,19:15:15,-40.466836,-121.541603,0,19,80.75
411,lewisjoshua,lewisjoshua@gmail.com,Driver,BMW,5.7,190,470,250,430,Rear,83.9,4783,1852,1448,2856,2605,555,470,5,1086.07,09075,2024-04-27,23:04:08,14.624667,125.674256,1,49,230.3
412,hawkinswanda,hawkinswanda@gmail.com,Fleet Manager,Tesla2,3.3,261,460,377,660,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,1673.26,60870,2024-08-28,16:44:11,-83.794225,23.135661,1,53,243.8
413,russellmegan,russellmegan@gmail.com,Fleet Manager,Tesla1,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,1825.82,10360,2024-04-18,15:48:21,-1.632187,-116.842592,1,6,29.1
414,ustewart,ustewart@gmail.com,Driver,Tesla1,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,1630.76,61222,2024-09-03,07:24:07,82.817268,121.211801,0,72,349.2
415,christopher72,christopher72@gmail.com,Fleet Manager,BMW,5.7,190,470,250,430,Rear,83.9,4783,1852,1448,2856,2605,555,470,5,2363.43,62932,2024-01-10,14:46:10,-75.39192,159.518106,1,93,437.1
416,jburton,jburton@gmail.com,Fleet Manager,Volkswagen,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,2686.38,01650,2024-05-17,21:10:55,-48.727108,68.004637,1,39,175.5
417,allison25,allison25@gmail.com,Fleet Manager,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,2960.1,28389,2024-09-10,04:10:27,-33.399495,145.760178,1,73,310.25
418,teresa06,teresa06@gmail.com,Fleet Manager,Volkswagen,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,4539.67,06053,2024-01-11,22:11:31,-4.714827,76.891307,0,17,76.5
419,amy09,amy09@gmail.com,Driver,BMW,5.7,190,470,250,430,Rear,83.9,4783,1852,1448,2856,2605,555,470,5,1775.04,93648,2024-04-25,15:20:13,-34.889649,-25.241345,0,97,455.9
420,nicolebush,nicolebush@gmail.com,Fleet Manager,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,3949.45,46275,2024-10-31,08:11:02,5.363156,62.879965,0,97,412.25
421,brandy81,brandy81@gmail.com,Fleet Manager,Tesla2,3.3,261,460,377,660,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,2003.81,30249,2024-07-07,00:16:57,-81.891262,124.59548,0,13,59.8
422,maria03,maria03@gmail.com,Fleet Manager,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,4790.21,35698,2024-05-16,05:39:55,88.108853,59.125975,0,55,233.75
423,david09,david09@gmail.com,Fleet Manager,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,4274.63,36553,2024-04-12,19:33:17,41.264217,151.181861,1,68,289.0
424,jdiaz,jdiaz@gmail.com,Fleet Manager,Tesla1,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,3411.21,27940,2024-11-09,16:08:36,11.467716,-131.138197,0,63,305.55
425,katherine10,katherine10@gmail.com,Fleet Manager,Volkswagen,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,4639.38,63554,2024-02-02,02:53:12,-78.713703,-113.955758,1,22,99.0
426,michael41,michael41@gmail.com,Fleet Manager,Tesla2,3.3,261,460,377,660,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,1364.88,21140,2024-10-16,07:23:08,33.748396,-72.257657,1,45,207.0
427,williamsanders,williamsanders@gmail.com,Fleet Manager,Tesla1,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,2527.48,35852,2024-07-19,01:03:13,34.805332,-100.281896,0,27,130.95
428,ryan04,ryan04@gmail.com,Fleet Manager,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,2569.14,05989,2024-06-20,12:14:46,-33.078558,10.770388,0,74,314.5
429,hchambers,hchambers@gmail.com,Driver,Tesla2,3.3,261,460,377,660,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,4057.75,91589,2024-06-16,02:12:32,-68.099837,-85.257367,1,30,138.0
430,fieldsanthony,fieldsanthony@gmail.com,Fleet Manager,BMW,5.7,190,470,250,430,Rear,83.9,4783,1852,1448,2856,2605,555,470,5,2038.91,57501,2024-01-22,22:19:35,-50.061795,-64.476777,0,99,465.3
431,richard53,richard53@gmail.com,Driver,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,2398.53,37720,2024-07-19,16:39:45,5.437934,144.279367,0,45,191.25
432,garciaangela,garciaangela@gmail.com,Fleet Manager,Tesla2,3.3,261,460,377,660,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,4363.65,63319,2024-05-31,17:35:10,-48.453872,179.021034,0,95,437.0
433,alexanderadkins,alexanderadkins@gmail.com,Fleet Manager,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,3781.61,39983,2024-05-22,03:41:09,2.410354,-122.176573,1,90,382.5
434,connerjoe,connerjoe@gmail.com,Fleet Manager,Tesla2,3.3,261,460,377,660,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,2573.65,33378,2024-05-12,03:31:47,-50.814488,-177.865317,0,22,101.2
435,justinbender,justinbender@gmail.com,Fleet Manager,BMW,5.7,190,470,250,430,Rear,83.9,4783,1852,1448,2856,2605,555,470,5,1944.69,16783,2024-09-23,07:30:45,-24.852582,-58.046134,1,74,347.8
436,nguyenalexis,nguyenalexis@gmail.com,Driver,BMW,5.7,190,470,250,430,Rear,83.9,4783,1852,1448,2856,2605,555,470,5,4525.13,13710,2024-07-31,06:15:43,-18.158858,62.889575,0,51,239.7
437,reeveschris,reeveschris@gmail.com,Fleet Manager,Tesla2,3.3,261,460,377,660,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,4049.1,90059,2024-11-24,21:44:08,-89.499132,-29.472042,0,12,55.2
438,ashley31,ashley31@gmail.com,Fleet Manager,Tesla1,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,3669.53,80389,2024-07-16,05:04:03,85.887303,-166.123299,1,13,63.05
439,xfoster,xfoster@gmail.com,Driver,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,2433.82,97687,2024-11-23,14:07:58,52.824542,159.775867,1,94,399.5
440,vlong,vlong@gmail.com,Fleet Manager,Tesla1,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,1857.18,67186,2024-01-14,09:53:41,-1.524586,-21.291423,1,57,276.45
441,nchristian,nchristian@gmail.com,Driver,Volkswagen,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,1764.57,66354,2024-10-15,15:27:17,51.203134,-100.979506,0,39,175.5
442,garciakelsey,garciakelsey@gmail.com,Fleet Manager,BMW,5.7,190,470,250,430,Rear,83.9,4783,1852,1448,2856,2605,555,470,5,2540.12,87855,2024-07-16,23:32:12,83.594271,-77.923294,0,72,338.4
443,monicamorales,monicamorales@gmail.com,Fleet Manager,BMW,5.7,190,470,250,430,Rear,83.9,4783,1852,1448,2856,2605,555,470,5,3409.45,99519,2024-01-12,10:32:18,21.327161,86.983221,1,3,14.1
444,hallchristian,hallchristian@gmail.com,Fleet Manager,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,2384.78,50355,2024-08-11,19:41:42,62.548115,-93.770501,1,27,114.75
445,connie82,connie82@gmail.com,Fleet Manager,BMW,5.7,190,470,250,430,Rear,83.9,4783,1852,1448,2856,2605,555,470,5,3686.91,05678,2024-08-06,01:34:35,-0.594633,-61.243062,1,52,244.4
446,perezvictoria,perezvictoria@gmail.com,Fleet Manager,BMW,5.7,190,470,250,430,Rear,83.9,4783,1852,1448,2856,2605,555,470,5,3000.17,98970,2024-04-14,23:18:26,-61.955457,36.810295,0,99,465.3
447,john68,john68@gmail.com,Fleet Manager,BMW,5.7,190,470,250,430,Rear,83.9,4783,1852,1448,2856,2605,555,470,5,2098.71,60603,2024-09-03,12:22:58,49.047597,130.275774,0,52,244.4
448,doylestephanie,doylestephanie@gmail.com,Fleet Manager,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,3330.69,08483,2024-07-17,06:53:43,19.595615,-95.801721,0,75,318.75
449,oknight,oknight@gmail.com,Driver,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,4976.56,85018,2024-08-20,19:32:39,-82.628015,63.885295,0,83,352.75
450,danielledavidson,danielledavidson@gmail.com,Fleet Manager,BMW,5.7,190,470,250,430,Rear,83.9,4783,1852,1448,2856,2605,555,470,5,4331.99,23819,2024-04-23,01:39:28,42.296319,-126.453122,0,34,159.8
451,webbchristopher,webbchristopher@gmail.com,Fleet Manager,Tesla1,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,2322.09,53114,2024-10-27,10:42:18,18.044436,90.631467,1,19,92.15
452,pricemark,pricemark@gmail.com,Fleet Manager,BMW,5.7,190,470,250,430,Rear,83.9,4783,1852,1448,2856,2605,555,470,5,3237.23,10854,2024-08-07,05:35:12,-73.272878,-167.704998,0,18,84.6
453,hsimpson,hsimpson@gmail.com,Fleet Manager,BMW,5.7,190,470,250,430,Rear,83.9,4783,1852,1448,2856,2605,555,470,5,3071.78,38545,2024-05-11,04:21:33,-44.798844,85.359575,0,39,183.3
454,spencerpittman,spencerpittman@gmail.com,Fleet Manager,Tesla1,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,1210.88,27467,2024-03-17,01:59:34,69.487615,133.782455,1,93,451.05
455,jacksonmelinda,jacksonmelinda@gmail.com,Fleet Manager,Tesla2,3.3,261,460,377,660,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,1031.57,56469,2024-08-22,12:57:33,-8.550816,51.374496,1,93,427.8
456,xthompson,xthompson@gmail.com,Fleet Manager,BMW,5.7,190,470,250,430,Rear,83.9,4783,1852,1448,2856,2605,555,470,5,2783.33,65071,2024-10-30,16:28:28,-49.893909,6.890308,1,68,319.6
457,brendaorozco,brendaorozco@gmail.com,Fleet Manager,Tesla1,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,4562.6,17950,2024-02-04,05:52:15,81.214002,-101.370403,1,11,53.35
458,nathaniel34,nathaniel34@gmail.com,Fleet Manager,Volkswagen,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,2271.83,73640,2024-09-03,21:28:01,23.777812,120.58309,1,80,360.0
459,jasonwallace,jasonwallace@gmail.com,Fleet Manager,Tesla2,3.3,261,460,377,660,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,1764.84,80831,2024-01-27,15:35:38,-11.48039,-120.787022,0,20,92.0
460,vjohnson,vjohnson@gmail.com,Fleet Manager,Volkswagen,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,4223.37,31376,2024-05-05,06:03:34,14.992176,-100.504281,1,93,418.5
461,ldavies,ldavies@gmail.com,Fleet Manager,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,2592.88,33326,2024-09-12,18:49:56,31.045647,-13.325757,1,92,391.0
462,uhamilton,uhamilton@gmail.com,Fleet Manager,BMW,5.7,190,470,250,430,Rear,83.9,4783,1852,1448,2856,2605,555,470,5,3324.68,31045,2024-07-02,12:43:36,-57.154556,11.622104,0,46,216.2
463,benjamin53,benjamin53@gmail.com,Fleet Manager,Tesla1,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,1770.44,26379,2024-03-09,19:19:20,27.840882,-10.805306,1,98,475.3
464,jessica67,jessica67@gmail.com,Fleet Manager,Tesla1,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,1219.2,81139,2024-06-07,04:47:15,57.30383,-115.891227,0,67,324.95
465,cynthia97,cynthia97@gmail.com,Fleet Manager,BMW,5.7,190,470,250,430,Rear,83.9,4783,1852,1448,2856,2605,555,470,5,4536.7,59382,2024-11-23,17:12:43,-80.040814,173.636899,1,10,47.0
466,jennifermarks,jennifermarks@gmail.com,Fleet Manager,BMW,5.7,190,470,250,430,Rear,83.9,4783,1852,1448,2856,2605,555,470,5,3381.26,65891,2024-07-28,04:17:54,25.555595,94.007587,0,77,361.9
467,rward,rward@gmail.com,Fleet Manager,BMW,5.7,190,470,250,430,Rear,83.9,4783,1852,1448,2856,2605,555,470,5,3782.75,41873,2024-01-03,10:51:11,48.26088,2.33554,0,68,319.6
468,cgarcia,cgarcia@gmail.com,Fleet Manager,Volkswagen,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,4478.91,31063,2024-09-01,08:33:56,79.641876,130.435668,1,98,441.0
469,gregory36,gregory36@gmail.com,Fleet Manager,Tesla2,3.3,261,460,377,660,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,2179.06,03530,2024-01-10,00:44:12,8.549108,48.216811,0,73,335.8
470,stephanievilla,stephanievilla@gmail.com,Driver,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,3974.51,56410,2024-01-31,02:23:38,88.329216,-111.527462,1,78,331.5
471,pgalvan,pgalvan@gmail.com,Fleet Manager,Volkswagen,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,2129.08,94427,2024-05-07,03:26:54,-53.735754,35.857618,0,90,405.0
472,maryboyd,maryboyd@gmail.com,Fleet Manager,Tesla2,3.3,261,460,377,660,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,1672.35,01508,2024-11-21,11:16:02,-71.58952,63.983881,1,43,197.8
473,robertharvey,robertharvey@gmail.com,Fleet Manager,BMW,5.7,190,470,250,430,Rear,83.9,4783,1852,1448,2856,2605,555,470,5,3640.4,36363,2024-04-27,15:26:45,54.007882,36.728296,1,36,169.2
474,iharrison,iharrison@gmail.com,Fleet Manager,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,1845.85,60927,2024-01-31,06:43:05,-1.970567,-36.607061,0,66,280.5
475,miranda97,miranda97@gmail.com,Fleet Manager,Tesla2,3.3,261,460,377,660,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,2273.28,48097,2024-05-16,03:06:07,-67.801663,71.5033,1,95,437.0
476,aguilarjennifer,aguilarjennifer@gmail.com,Fleet Manager,Volkswagen,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,4546.76,17897,2024-03-12,06:13:53,31.82715,36.638661,1,61,274.5
477,joshualynch,joshualynch@gmail.com,Fleet Manager,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,3036.17,32444,2024-04-08,20:02:03,-18.545939,11.207126,0,83,352.75
478,katrinabrewer,katrinabrewer@gmail.com,Fleet Manager,Tesla2,3.3,261,460,377,660,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,1173.87,07924,2024-07-23,17:17:17,-74.377895,-154.665283,1,37,170.2
479,jsandoval,jsandoval@gmail.com,Fleet Manager,Tesla2,3.3,261,460,377,660,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,1027.47,49440,2024-07-05,15:06:47,-79.102023,165.343028,1,93,427.8
480,nhernandez,nhernandez@gmail.com,Fleet Manager,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,2913.28,68323,2024-02-20,05:25:50,4.768361,-175.665415,0,10,42.5
481,scottaguilar,scottaguilar@gmail.com,Fleet Manager,BMW,5.7,190,470,250,430,Rear,83.9,4783,1852,1448,2856,2605,555,470,5,2815.12,26132,2024-04-12,08:08:15,22.101864,79.478541,1,32,150.4
482,emilydiaz,emilydiaz@gmail.com,Fleet Manager,Volkswagen,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,1519.73,79776,2024-02-10,06:42:59,-4.578215,55.27657,0,8,36.0
483,yangdiana,yangdiana@gmail.com,Fleet Manager,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,4831.59,98592,2024-08-25,14:26:05,25.067242,147.784569,0,7,29.75
484,orogers,orogers@gmail.com,Fleet Manager,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,3754.18,59548,2024-04-25,02:56:50,84.588433,164.727361,1,46,195.5
485,amymoran,amymoran@gmail.com,Fleet Manager,Tesla2,3.3,261,460,377,660,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,2809.46,89861,2024-03-30,09:11:58,-88.438712,-27.015564,1,20,92.0
486,monicarowland,monicarowland@gmail.com,Driver,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,2237.37,45989,2024-10-09,14:16:29,-78.653659,128.583451,0,38,161.5
487,scott49,scott49@gmail.com,Fleet Manager,Tesla2,3.3,261,460,377,660,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,3379.88,75656,2024-03-13,06:11:29,82.042589,18.867769,1,90,414.0
488,danielscrystal,danielscrystal@gmail.com,Driver,Volkswagen,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,2939.82,16015,2024-09-03,17:58:43,71.168836,46.650241,0,57,256.5
489,salazarpaul,salazarpaul@gmail.com,Fleet Manager,Volkswagen,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,1369.47,21277,2024-09-24,20:19:11,20.963814,-33.165187,1,40,180.0
490,robert05,robert05@gmail.com,Fleet Manager,Volkswagen,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,4389.29,15703,2024-04-22,02:02:41,25.472213,106.376441,1,87,391.5
491,rodneyromero,rodneyromero@gmail.com,Driver,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,4461.44,16528,2024-08-23,05:02:55,17.455805,-51.576283,0,28,119.0
492,vclark,vclark@gmail.com,Fleet Manager,Volkswagen,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,1339.56,27366,2024-01-12,20:35:38,-71.356524,-116.811297,0,96,432.0
493,eric56,eric56@gmail.com,Driver,Volkswagen,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,4311.7,10129,2024-01-24,05:34:57,-63.517852,103.511742,0,62,279.0
494,shane07,shane07@gmail.com,Fleet Manager,Tesla2,3.3,261,460,377,660,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,1945.47,09041,2024-03-05,01:22:41,48.825902,143.958379,1,10,46.0
495,sean66,sean66@gmail.com,Fleet Manager,Volkswagen,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,1210.16,75033,2024-05-29,14:37:03,73.26615,-93.004622,1,63,283.5
496,angela75,angela75@gmail.com,Driver,Tesla2,3.3,261,460,377,660,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,2028.9,59169,2024-03-24,03:55:15,22.464247,61.604572,1,57,262.2
497,barrykim,barrykim@gmail.com,Driver,Tesla2,3.3,261,460,377,660,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,3931.55,09558,2024-03-17,19:40:02,42.41246,-2.5392,1,33,151.8
498,kevinvelasquez,kevinvelasquez@gmail.com,Driver,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,4392.26,76617,2024-02-01,08:13:29,-62.613466,163.508166,0,29,123.25
499,ifrancis,ifrancis@gmail.com,Fleet Manager,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,1048.91,94805,2024-11-30,18:28:03,-77.69101,6.41124,1,71,301.75
500,klee,klee@gmail.com,Fleet Manager,Tesla1,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,2887.96,70036,2024-05-07,14:27:58,-37.37013,-35.404833,1,79,383.15
501,hansenrichard,hansenrichard@gmail.com,Driver,Tesla2,3.3,261,460,377,660,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,4335.64,20299,2024-06-21,22:27:49,-57.524051,-22.377603,1,76,349.6
502,smithrobert,smithrobert@gmail.com,Fleet Manager,Volkswagen,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,1774.77,99886,2024-11-24,04:25:43,35.695434,-160.934892,0,65,292.5
503,fhouston,fhouston@gmail.com,Fleet Manager,Tesla1,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,2156.81,99521,2024-05-11,18:30:52,76.352216,-130.371033,1,28,135.8
504,icarr,icarr@gmail.com,Fleet Manager,Volkswagen,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,4419.14,35419,2024-04-20,08:45:19,88.602651,91.325892,1,77,346.5
505,vmartin,vmartin@gmail.com,Fleet Manager,Volkswagen,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,2468.15,79250,2024-07-25,11:10:22,48.399655,53.278202,1,16,72.0
506,brownsara,brownsara@gmail.com,Driver,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,2553.76,63577,2024-03-17,09:37:28,47.295836,-30.830143,0,45,191.25
507,ybaker,ybaker@gmail.com,Fleet Manager,BMW,5.7,190,470,250,430,Rear,83.9,4783,1852,1448,2856,2605,555,470,5,3573.41,66995,2024-07-20,03:11:44,-30.281794,-155.454977,0,40,188.0
508,znorris,znorris@gmail.com,Fleet Manager,Tesla2,3.3,261,460,377,660,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,4797.53,96158,2024-07-17,03:11:21,-31.122901,125.299208,1,65,299.0
509,robertcarroll,robertcarroll@gmail.com,Fleet Manager,Volkswagen,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,4835.42,58861,2024-04-15,08:23:28,-0.893455,41.44411,0,12,54.0
510,joel63,joel63@gmail.com,Fleet Manager,BMW,5.7,190,470,250,430,Rear,83.9,4783,1852,1448,2856,2605,555,470,5,3011.27,72969,2024-07-18,08:40:53,-15.463693,20.270499,0,87,408.9
511,twaller,twaller@gmail.com,Driver,Volkswagen,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,3846.6,18289,2024-04-07,12:38:14,69.027964,27.563962,0,3,13.5
512,kaitlin64,kaitlin64@gmail.com,Fleet Manager,Volkswagen,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,4610.69,39564,2024-07-22,00:29:08,-82.395945,102.695712,0,95,427.5
513,qmccarthy,qmccarthy@gmail.com,Fleet Manager,Polestar,7.4,160,425,170,330,Front,78.0,4607,1800,1479,2735,2490,496,405,5,2979.13,41149,2024-06-02,13:53:55,65.207428,-163.498772,1,94,399.5
514,martinlori,martinlori@gmail.com,Fleet Manager,BMW,5.7,190,470,250,430,Rear,83.9,4783,1852,1448,2856,2605,555,470,5,4029.93,89145,2024-01-09,07:30:13,32.757236,-175.000161,0,92,432.4
515,sylviacampbell,sylviacampbell@gmail.com,Fleet Manager,Tesla2,3.3,261,460,377,660,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,1430.45,91717,2024-07-30,10:12:34,-49.798516,41.839584,0,98,450.8
